index,QualId,WorkerId,Value
1,33F09YB954S18TOZV0F33J86TWWJ60,A002160837SWJFPIAI7L7,100
2,33F09YB954S18TOZV0F33J86TWWJ60,A10249252O9I20MRSOBVF,100
3,33F09YB954S18TOZV0F33J86TWWJ60,A114JRUBJ5IN7D,100
4,33F09YB954S18TOZV0F33J86TWWJ60,A1160COTUR26JZ,100
5,33F09YB954S18TOZV0F33J86TWWJ60,A118BQHK3S4UDV,100
6,33F09YB954S18TOZV0F33J86TWWJ60,A11FFJZ0C984W4,100
7,33F09YB954S18TOZV0F33J86TWWJ60,A13FUEPWBCLBUY,100
8,33F09YB954S18TOZV0F33J86TWWJ60,A150BQFJF2Z8KH,100
9,33F09YB954S18TOZV0F33J86TWWJ60,A16OJTSFLK977U,100
10,33F09YB954S18TOZV0F33J86TWWJ60,A191V7PT3DQKDP,100
11,33F09YB954S18TOZV0F33J86TWWJ60,A19TD2J8506A4Y,100
12,33F09YB954S18TOZV0F33J86TWWJ60,A1AGFCNGYETP26,100
13,33F09YB954S18TOZV0F33J86TWWJ60,A1BFA82J9Q1CLA,100
14,33F09YB954S18TOZV0F33J86TWWJ60,A1BG47GSHQ9WSU,100
15,33F09YB954S18TOZV0F33J86TWWJ60,A1BI34TAR8H9R0,100
16,33F09YB954S18TOZV0F33J86TWWJ60,A1CPJ9Q4UQ0FZ3,100
17,33F09YB954S18TOZV0F33J86TWWJ60,A1FQK51ECARQNK,100
18,33F09YB954S18TOZV0F33J86TWWJ60,A1H4MYPDJ2K3VI,100
19,33F09YB954S18TOZV0F33J86TWWJ60,A1HKYY6XI2OHO1,100
20,33F09YB954S18TOZV0F33J86TWWJ60,A1ICBBSAE9FAEW,100
21,33F09YB954S18TOZV0F33J86TWWJ60,A1IFIK8J49WBER,100
22,33F09YB954S18TOZV0F33J86TWWJ60,A1MWCDBGZLHJPI,100
23,33F09YB954S18TOZV0F33J86TWWJ60,A1P36UOJ6X8K4C,100
24,33F09YB954S18TOZV0F33J86TWWJ60,A1P6LFEAY9MWAY,100
25,33F09YB954S18TOZV0F33J86TWWJ60,A1PH6KGQQ5CC2T,100
26,33F09YB954S18TOZV0F33J86TWWJ60,A1QPTB6NSQI9K,100
27,33F09YB954S18TOZV0F33J86TWWJ60,A1SRNM9EL4PSC6,100
28,33F09YB954S18TOZV0F33J86TWWJ60,A1TPGXT718D68E,100
29,33F09YB954S18TOZV0F33J86TWWJ60,A1U69QDM8UIXZ5,100
30,33F09YB954S18TOZV0F33J86TWWJ60,A1VMPZVVVZUCS4,100
31,33F09YB954S18TOZV0F33J86TWWJ60,A1Y5XHY97KETCJ,100
32,33F09YB954S18TOZV0F33J86TWWJ60,A1Z8TF04ZG3VRE,100
33,33F09YB954S18TOZV0F33J86TWWJ60,A1ZLLYRW6GIVC7,100
34,33F09YB954S18TOZV0F33J86TWWJ60,A20E14F983V9HX,100
35,33F09YB954S18TOZV0F33J86TWWJ60,A20VNT5IHVO401,100
36,33F09YB954S18TOZV0F33J86TWWJ60,A2173NB4RXYT6M,100
37,33F09YB954S18TOZV0F33J86TWWJ60,A2196WCNDZULFS,100
38,33F09YB954S18TOZV0F33J86TWWJ60,A21YUN0AXL70FE,100
39,33F09YB954S18TOZV0F33J86TWWJ60,A222R4PNCF08OF,100
40,33F09YB954S18TOZV0F33J86TWWJ60,A223BBAD3U6QFR,100
41,33F09YB954S18TOZV0F33J86TWWJ60,A23BTL70J2T5XF,100
42,33F09YB954S18TOZV0F33J86TWWJ60,A23EWFNNOUS10B,100
43,33F09YB954S18TOZV0F33J86TWWJ60,A24LC97AU3QC7G,100
